seed,fold,family,accuracy,model__max_depth,model__C,model__penalty,model__max_features
7,2,decision tree,0.797752808988764,4,,,
7,2,logistic regression,0.7865168539325843,,0.1,l1,
7,2,random forest,0.8033707865168539,5,,,sqrt
7,3,decision tree,0.797752808988764,3,,,
7,3,logistic regression,0.7528089887640449,,10.0,l1,
7,3,random forest,0.7808988764044944,5,,,sqrt
7,4,decision tree,0.8426966292134831,6,,,
7,4,logistic regression,0.797752808988764,,0.1,l2,
7,4,random forest,0.8146067415730337,5,,,sqrt
7,5,decision tree,0.8258426966292135,5,,,
7,5,logistic regression,0.8089887640449438,,1.0,l1,
7,5,random forest,0.8202247191011236,4,,,sqrt
8,1,decision tree,0.7374301675977654,3,,,
8,1,logistic regression,0.7374301675977654,,0.1,l1,
8,1,random forest,0.7541899441340782,5,,,sqrt
8,2,decision tree,0.8033707865168539,3,,,
8,2,logistic regression,0.8089887640449438,,0.1,l2,
8,2,random forest,0.8314606741573034,4,,,sqrt
8,3,decision tree,0.8539325842696629,4,,,
8,3,logistic regression,0.7921348314606742,,0.1,l2,
8,3,random forest,0.8370786516853933,5,,,sqrt
8,4,decision tree,0.8089887640449438,4,,,
8,4,logistic regression,0.7865168539325843,,0.1,l1,
8,4,random forest,0.8146067415730337,3,,,sqrt
8,5,decision tree,0.8370786516853933,4,,,
8,5,logistic regression,0.8202247191011236,,1.0,l1,
8,5,random forest,0.8314606741573034,5,,,sqrt
9,1,decision tree,0.7988826815642458,4,,,
9,1,logistic regression,0.7932960893854749,,1.0,l1,
9,1,random forest,0.8044692737430168,4,,,sqrt
9,2,decision tree,0.7640449438202247,6,,,
9,2,logistic regression,0.7752808988764045,,1.0,l1,
9,2,random forest,0.797752808988764,5,,,sqrt
9,3,decision tree,0.8089887640449438,5,,,
9,3,logistic regression,0.797752808988764,,10.0,l1,
9,3,random forest,0.8089887640449438,4,,,sqrt
9,4,decision tree,0.8089887640449438,5,,,
9,4,logistic regression,0.8089887640449438,,1.0,l2,
9,4,random forest,0.8314606741573034,3,,,sqrt
9,5,decision tree,0.8314606741573034,4,,,
9,5,logistic regression,0.8089887640449438,,0.1,l2,
9,5,random forest,0.8202247191011236,5,,,sqrt
10,1,decision tree,0.8156424581005587,3,,,
10,1,logistic regression,0.8212290502793296,,1.0,l1,
10,1,random forest,0.8212290502793296,5,,,sqrt
10,2,decision tree,0.7696629213483146,3,,,
10,2,logistic regression,0.7471910112359551,,0.1,l2,
10,2,random forest,0.7584269662921348,5,,,sqrt
10,3,decision tree,0.8258426966292135,4,,,
10,3,logistic regression,0.8258426966292135,,0.1,l2,
10,3,random forest,0.848314606741573,4,,,sqrt
10,4,decision tree,0.7752808988764045,4,,,
10,4,logistic regression,0.7528089887640449,,0.1,l1,
10,4,random forest,0.8033707865168539,5,,,sqrt
10,5,decision tree,0.8258426966292135,3,,,
10,5,logistic regression,0.8258426966292135,,0.1,l2,
10,5,random forest,0.8314606741573034,4,,,sqrt
11,1,decision tree,0.8379888268156425,6,,,
11,1,logistic regression,0.8491620111731844,,1.0,l2,
11,1,random forest,0.8435754189944135,5,,,sqrt
11,2,decision tree,0.7808988764044944,3,,,
11,2,logistic regression,0.7752808988764045,,0.1,l2,
11,2,random forest,0.797752808988764,5,,,sqrt
11,3,decision tree,0.7808988764044944,4,,,
11,3,logistic regression,0.7584269662921348,,1.0,l2,
11,3,random forest,0.7865168539325843,4,,,sqrt
11,4,decision tree,0.8426966292134831,5,,,
11,4,logistic regression,0.8370786516853933,,0.1,l2,
11,4,random forest,0.8370786516853933,5,,,sqrt
11,5,decision tree,0.8089887640449438,4,,,
11,5,logistic regression,0.7752808988764045,,0.1,l2,
11,5,random forest,0.8033707865168539,5,,,sqrt
12,1,decision tree,0.8435754189944135,4,,,
12,1,logistic regression,0.8324022346368715,,1.0,l1,
12,1,random forest,0.8379888268156425,4,,,sqrt
12,2,decision tree,0.7921348314606742,3,,,
12,2,logistic regression,0.7921348314606742,,1.0,l2,
12,2,random forest,0.8146067415730337,4,,,sqrt
12,3,decision tree,0.8033707865168539,3,,,
12,3,logistic regression,0.8033707865168539,,1.0,l2,
12,3,random forest,0.8258426966292135,5,,,sqrt
12,4,decision tree,0.8146067415730337,4,,,
12,4,logistic regression,0.7921348314606742,,0.1,l1,
12,4,random forest,0.8314606741573034,5,,,sqrt
12,5,decision tree,0.797752808988764,4,,,
12,5,logistic regression,0.7640449438202247,,0.1,l1,
12,5,random forest,0.8089887640449438,5,,,sqrt
13,1,decision tree,0.7877094972067039,3,,,
13,1,logistic regression,0.7932960893854749,,0.1,l1,
13,1,random forest,0.8100558659217877,5,,,sqrt
13,2,decision tree,0.8089887640449438,4,,,
13,2,logistic regression,0.8033707865168539,,0.1,l2,
13,2,random forest,0.8370786516853933,5,,,sqrt
13,3,decision tree,0.8426966292134831,6,,,
13,3,logistic regression,0.797752808988764,,0.1,l2,
13,3,random forest,0.8426966292134831,4,,,sqrt
13,4,decision tree,0.8089887640449438,5,,,
13,4,logistic regression,0.8314606741573034,,0.1,l2,
13,4,random forest,0.8146067415730337,4,,,sqrt
13,5,decision tree,0.7865168539325843,3,,,
13,5,logistic regression,0.7752808988764045,,0.1,l2,
13,5,random forest,0.7696629213483146,5,,,sqrt
14,1,decision tree,0.7988826815642458,3,,,
14,1,logistic regression,0.8156424581005587,,0.1,l2,
14,1,random forest,0.8379888268156425,5,,,sqrt
14,2,decision tree,0.7696629213483146,3,,,
14,2,logistic regression,0.7808988764044944,,0.1,l2,
14,2,random forest,0.7808988764044944,5,,,sqrt
14,3,decision tree,0.797752808988764,4,,,
14,3,logistic regression,0.7415730337078652,,0.1,l2,
14,3,random forest,0.7640449438202247,3,,,sqrt
14,4,decision tree,0.8314606741573034,3,,,
14,4,logistic regression,0.8089887640449438,,0.1,l2,
14,4,random forest,0.8258426966292135,5,,,sqrt
14,5,decision tree,0.848314606741573,5,,,
14,5,logistic regression,0.8202247191011236,,1.0,l2,
14,5,random forest,0.8539325842696629,5,,,sqrt
15,1,decision tree,0.7877094972067039,4,,,
15,1,logistic regression,0.7877094972067039,,0.1,l2,
15,1,random forest,0.8044692737430168,4,,,sqrt
15,2,decision tree,0.8202247191011236,3,,,
15,2,logistic regression,0.7865168539325843,,0.1,l1,
15,2,random forest,0.8089887640449438,5,,,sqrt
15,3,decision tree,0.8089887640449438,4,,,
15,3,logistic regression,0.7921348314606742,,1.0,l1,
15,3,random forest,0.8089887640449438,5,,,sqrt
15,4,decision tree,0.8033707865168539,4,,,
15,4,logistic regression,0.7415730337078652,,1.0,l1,
15,4,random forest,0.797752808988764,5,,,sqrt
15,5,decision tree,0.8707865168539326,4,,,
15,5,logistic regression,0.8370786516853933,,1.0,l1,
15,5,random forest,0.8932584269662921,5,,,sqrt
16,1,decision tree,0.8044692737430168,6,,,
16,1,logistic regression,0.7877094972067039,,0.1,l2,
16,1,random forest,0.8044692737430168,5,,,sqrt
16,2,decision tree,0.8146067415730337,4,,,
16,2,logistic regression,0.8202247191011236,,0.1,l2,
16,2,random forest,0.8426966292134831,5,,,sqrt
16,3,decision tree,0.8033707865168539,4,,,
16,3,logistic regression,0.7808988764044944,,0.1,l2,
16,3,random forest,0.797752808988764,5,,,sqrt
16,4,decision tree,0.8202247191011236,4,,,
16,4,logistic regression,0.8033707865168539,,1.0,l1,
16,4,random forest,0.8258426966292135,5,,,sqrt
16,5,decision tree,0.8202247191011236,3,,,
16,5,logistic regression,0.8258426966292135,,1.0,l1,
